name,dtype,stored,size,ratio,nchunks,chunk_size,avg_chunk_stored,shape,chunk_shape,compressor,filters
/sample_Viridian_scorpio,object,1.25 MiB,33.45 MiB, 27,439,78.02 KiB,2.91 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Genbank_scorpio,object,1.05 MiB,33.45 MiB, 32,439,78.02 KiB,2.45 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_cons_het,int8,774.16 KiB,4.18 MiB, 5.5,439,9.75 KiB,1.76 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_First_created,object,413.85 KiB,33.45 MiB, 83,439,78.02 KiB,965 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Study,object,327.02 KiB,33.45 MiB, 1e+02,439,78.02 KiB,762 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_amplicon_scheme,object,284.41 KiB,33.45 MiB, 1.2e+02,439,78.02 KiB,663 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Platform,object,266.1 KiB,33.45 MiB, 1.3e+02,439,78.02 KiB,620 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Artic_primer_version,object,231.02 KiB,33.45 MiB, 1.5e+02,439,78.02 KiB,538 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Country,object,196.96 KiB,33.45 MiB, 1.7e+02,439,78.02 KiB,459 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_In_intersection,bool,190.49 KiB,4.18 MiB, 22,439,9.75 KiB,444 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_Collection_date,object,115.74 KiB,33.45 MiB, 3e+02,439,78.02 KiB,269 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Date_tree,object,78.38 KiB,33.45 MiB, 4.4e+02,439,78.02 KiB,182 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_position,int32,78.31 KiB,116.81 KiB, 1.5,300,398.70666666666665 bytes,267 bytes,"(29903,)","(100,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_Genbank_other_runs,object,69.24 KiB,33.45 MiB, 4.9e+02,439,78.02 KiB,161 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Run_count,int8,48.57 KiB,4.18 MiB, 88,439,9.75 KiB,113 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_In_Viridian_tree,bool,44.17 KiB,4.18 MiB, 97,439,9.75 KiB,103 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_contig,int8,38.35 KiB,29.2 KiB, 0.76,300,99.67666666666666 bytes,130 bytes,"(29903,)","(100,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_allele,object,37.95 KiB,3.65 MiB, 98,300,12.46 KiB,129 bytes,"(29903, 16)","(100, 16)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Date_tree_order,object,36.49 KiB,33.45 MiB, 9.4e+02,439,78.02 KiB,85 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_result,object,36.43 KiB,33.45 MiB, 9.4e+02,439,78.02 KiB,84 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_In_may_2024_preprint,bool,30.38 KiB,4.18 MiB, 1.4e+02,439,9.75 KiB,70 bytes,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/contig_id,object,4.45 KiB,8 bytes, 0.0018,1,8.0 bytes,4.45 KiB,"(1,)","(1,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/contig_length,int64,4.38 KiB,8 bytes, 0.0018,1,8.0 bytes,4.38 KiB,"(1,)","(1,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
